"Order Number","Order Status","Order Date","City (Shipping)","Order Total Amount"
16379,Completed,"2025-12-31 11:23",Midrand,370.00
16378,Completed,"2025-12-31 09:08",Mthatha,380.00
16376,Completed,"2025-12-30 21:07",Johannesburg's,500.00
16375,Completed,"2025-12-30 10:29",Pietermaritzburg,220.00
16374,Completed,"2025-12-30 10:02",Middelburg,380.00
16373,Completed,"2025-12-29 16:55",Newcastle,220.00
16370,Completed,"2025-12-26 07:03",Midrand,610.00
16369,Completed,"2025-12-24 20:19",Polokwane,520.00
16368,Completed,"2025-12-24 13:12","Thohoyandou Bkock f",348.00
16367,Completed,"2025-12-24 10:19",Johannesburg,290.00
16366,Completed,"2025-12-24 06:27",Pretoria,348.00
16365,Completed,"2025-12-23 17:46",Pretoria,630.00
16364,Completed,"2025-12-23 14:48","Kempton park",418.00
16363,Completed,"2025-12-23 06:00",Dennilton,636.00
16362,Completed,"2025-12-23 05:31","Cape Town",508.00
16361,Completed,"2025-12-22 23:56","Cape Town",576.00
16360,Completed,"2025-12-22 21:20","Port Elizabeth",668.00
16359,Completed,"2025-12-22 20:40",Gqeberha,646.00
16355,Completed,"2025-12-22 19:43",Mpumalanga,348.00
16354,Completed,"2025-12-22 15:37",Eastgate,608.00
16353,Completed,"2025-12-22 10:42",2190,610.00
16351,Completed,"2025-12-22 04:53",Sandton,440.00
16350,Completed,"2025-12-22 04:04",Engcobo,348.00
16349,Completed,"2025-12-21 23:11",Giyani,508.00
16347,Completed,"2025-12-21 17:07",Taung,810.00
16346,Completed,"2025-12-21 16:41",Town,700.00
16345,Completed,"2025-12-21 16:05","Thohoyandou block f",537.00
16344,Completed,"2025-12-21 08:14",Johannesburg,618.00
16340,Completed,"2025-12-20 16:31",Centurion,348.00
16339,Completed,"2025-12-20 13:25",Rustenburg,568.00
16338,Completed,"2025-12-20 12:49",Rustenburg,558.00
16336,Completed,"2025-12-20 10:20",Phalaborwa,348.00
16335,Completed,"2025-12-19 22:29","Newlands East",628.00
16333,Completed,"2025-12-19 20:36","Cape Town",498.00
16332,Processing,"2025-12-19 18:30",Soshanguve,576.00
16330,Completed,"2025-12-19 17:53",Carletonville,578.00
16328,Completed,"2025-12-19 09:42",Springs,618.00
16327,Completed,"2025-12-19 09:42",Durban,706.00
16325,Completed,"2025-12-19 08:24",Johannesburg,348.00
16320,Completed,"2025-12-19 06:11","Karino estate",1520.00
16319,Completed,"2025-12-18 20:01",Lusikisiki,576.00
16317,Completed,"2025-12-18 16:37","Cape Town",348.00
